Product name,Product description,Brand name,Quantity,All products images/ videos,Rating,Number of Ratings,MRP,Selling price,Product URL,Affiliate link,All Ingredients,Item Form,Skin Type,Brand,Scent,Material Feature,Material Type Free,Age Range (Description),Number of Items,Net Quantity,Special Feature,Highly rated by customers for
,"Cetaphil Oily Skin Cleanser , Daily Face Wash for Oily, Acne prone Skin , Gentle Foaming, 125ml",,,https://m.media-amazon.com/images/I/51lV2Pem64L._AC_UL320_.jpg,,"8,131",,490,https://amazon.in/Cetaphil-Cleanser-Oily-Skin-125ml/dp/B01CCGW732/ref=sr_1_15?qid=1695545594&s=beauty&sr=1-15,,,,,,,,,,,,,
,"Mysore Sandal Soap,450g (150x3) (Pack Of 3)",,,https://m.media-amazon.com/images/I/51RZjGsfF5L._AC_UL320_.jpg,,"26,775",,232,https://amazon.in/Mysore-Sandal-Soap-150g-Pack/dp/B00BMR071W/ref=sr_1_16?qid=1695545594&s=beauty&sr=1-16,,,,,,,,,,,,,
,"Neutrogena Ultra sheer Sunscreen, SPF 50+, Ultra light, for oily and dry skin, 30ml",,,https://m.media-amazon.com/images/I/11gNbuzzirL._SS200_.png,,"65,668",,234,https://amazon.in/Neutrogena-Ultra-Sheer-Dry-Touch-Sunblock/dp/B00G7RTYT8/ref=sr_1_17?qid=1695545594&s=beauty&sr=1-17,,,,,,,,,,,,,
,"Vaseline Intensive Care Cocoa Glow Body Lotion, 24 hr nourishing lotion with 100% Cocoa And Shea Butter, Restores Glow, 400 ml",,,https://m.media-amazon.com/images/I/71eJAaD6aBL._AC_UL320_.jpg,,"37,908",,217,https://amazon.in/Vaseline-Intensive-Care-Cocoa-Lotion/dp/B07W44MH3W/ref=sr_1_18?qid=1695545594&s=beauty&sr=1-18,,,,,,,,,,,,,
,Presto! 2 Ply Facial Tissue Soft Pack - 200 Pulls (Pack of 3),,,https://m.media-amazon.com/images/I/61dSZR8IqbL._AC_UL320_.jpg,,"16,803",,289,https://amazon.in/Amazon-Brand-Presto-Facial-Tissue/dp/B0792T6NXR/ref=sr_1_19?qid=1695545594&s=beauty&sr=1-19,,,,,,,,,,,,,
,"Aqualogica Radiance+ Dewy Sunscreen SPF 50 PA+++ 50g - With Watermelon & Niacinamide for Radiant Skin - Deep Moisturization, Protects from UVA/B for Men & Women",,,https://m.media-amazon.com/images/I/51Jmr4FOsdL._AC_UL320_.jpg,,"4,159",,342,https://amazon.in/Aqualogica-Sunscreen-Watermelon-Niacinamide-Protection/dp/B0B3MNVPDV/ref=sr_1_20?qid=1695545594&s=beauty&sr=1-20,,,,,,,,,,,,,
,"Garnier Skin Naturals, Day Cream, Brightening and with Sun Protection, Bright Complete, 45 g",,,https://m.media-amazon.com/images/I/91-TkQyg3FL._AC_UL320_.jpg,,"5,963",,159,https://amazon.in/Garnier-Light-Complete-Fairness-Serum/dp/B07DL94CPX/ref=sr_1_21?qid=1695545594&s=beauty&sr=1-21,,,,,,,,,,,,,
,"Cinthol Original Soap, 100g (Pack of 8) | Germ Protection | Soaps For Bath | Grade 1 Soap | For All Skin Types",,,https://m.media-amazon.com/images/I/61rKnQImLSL._AC_UL320_.jpg,,"7,878",,344,https://amazon.in/Cinthol-Original-Soap-100-Pack/dp/B07MXHP8K4/ref=sr_1_22?qid=1695545594&s=beauty&sr=1-22,,,,,,,,,,,,,
,"Soulflower Rosemary Essential Oil for Hair Growth, Hair Fall Control and Nourishment, Skin Care | Clinically Tested & Ecocert Certified Organic 100% Pure, Natural, Undiluted | 15ml",,,https://m.media-amazon.com/images/I/51UQbNeJRZL._AC_UL320_.jpg,,"11,407",,424,https://amazon.in/Soulflower-Rosemary-Hair-Skin-15ml/dp/B078V9X189/ref=sr_1_23?qid=1695545594&s=beauty&sr=1-23,,,,,,,,,,,,,
,"Fiama Gel Bar Celebration Pack With 5 unique Gel Bars & Skin Conditioners For Moisturized Skin, 125g Soap (Buy 4 Get 1 Free)",,,https://m.media-amazon.com/images/I/61Z1wAoMoLL._AC_UL320_.jpg,,"19,460",,219,https://amazon.in/Fiama-Celebration-Pack-unique-1free/dp/B0845CWWCD/ref=sr_1_24?qid=1695545594&s=beauty&sr=1-24,,,,,,,,,,,,,
